cycle_id,timestamp_start_ms,timestamp_end_ms,dt_target_ms,loop_latency_ms,jitter_ms,deadline_ms,late_flag,controller_mode,scenario_id,r,y,e,u,sat_flag,rx_seq,tx_seq,jitter
56,1109.2519,1121.8404,20,12.5885000000001,0,20,0,PI,none yet,30,20.7972414959165,9.20275850408347,1,0,29,38,-7.41149999999993
57,1123.6078,1137.3077,20,13.6999000000001,0,20,0,PI,none yet,30,20.8108497714288,9.18915022857121,1,0,29,38,-6.30009999999993
58,1139.0455,1167.2743,20,28.2288000000001,0,20,1,PI,none yet,30,20.8244172221145,9.1755827778855,1,0,29,38,8.22880000000009
59,1168.9707,1183.6682,20,14.6975,0,20,0,PI,none yet,30,20.8379439704482,9.16205602955185,1,0,29,38,-5.30250000000001
60,1185.2804,1200.629,20,15.3486,0,20,0,PI,none yet,30,20.8514301385368,9.14856986146319,1,0,29,38,-4.65139999999997
61,1202.224,1215.1838,20,12.9598000000001,0,20,0,PI,none yet,30,20.8648758481212,9.1351241518788,1,0,29,38,-7.04019999999991
62,1216.9084,1231.2779,20,14.3695000000002,0,20,0,PI,none yet,30,20.8782812205768,9.12171877942317,1,0,29,38,-5.63049999999976
63,1232.8728,1260.7874,20,27.9145999999998,0,20,1,PI,none yet,30,20.8916463769151,9.10835362308489,1,0,29,38,7.91459999999984
64,1262.5291,1291.2994,20,28.7702999999999,0,20,1,PI,none yet,30,20.9049714377844,9.09502856221564,1,0,29,38,8.77029999999991
65,1293.0217,1308.0492,20,15.0274999999999,0,20,0,PI,none yet,30,20.918256523471,9.08174347652899,1,0,29,38,-4.97250000000008
66,1309.6453,NaN,20,NaN,0,20,0,PI,none yet,30,20.9155017539006,9.0844982460994,0,0,0,38,0
67,1341.7126,NaN,20,NaN,0,20,0,PI,none yet,30,20.9127552486389,9.0872447513611,0,0,29,38,0
68,1371.9301,1382.3009,20,10.3707999999999,0,20,0,PI,none yet,30,20.926016982893,9.07398301710702,1,0,29,38,-9.62920000000008
69,1383.9698,1397.9339,20,13.9640999999999,0,20,0,PI,none yet,30,20.9392389319443,9.0607610680557,1,0,29,38,-6.03590000000008
70,1400.1792,1413.4524,20,13.2731999999999,0,20,0,PI,none yet,30,20.9524212151485,9.04757878485153,1,0,29,38,-6.72680000000014
71,1415.233,1428.388,20,13.155,0,20,0,PI,none yet,30,20.965563951503,9.03443604849698,1,0,29,38,-6.84500000000003
72,1429.9274,1442.6297,20,12.7022999999999,0,20,0,PI,none yet,30,20.9786672596485,9.02133274035149,1,0,29,38,-7.29770000000008
73,1444.1823,1457.3666,20,13.1843000000001,0,20,0,PI,none yet,30,20.9917312578696,9.00826874213043,1,0,29,38,-6.81569999999988
74,1458.9346,1487.8558,20,28.9212,0,20,1,PI,none yet,30,21.004756064096,8.99524393590404,1,0,29,38,8.9212
75,1489.5279,1505.2404,20,15.7125000000001,0,20,0,PI,none yet,30,21.0177417959037,8.98225820409633,1,0,29,38,-4.28749999999991
76,1506.9651,1521.3208,20,14.3557000000001,0,20,0,PI,none yet,30,21.030688570516,8.96931142948404,1,0,29,38,-5.64429999999993
77,1523.0454,1536.5087,20,13.4632999999999,0,20,0,PI,none yet,30,21.0435965048044,8.95640349519559,1,0,29,38,-6.53670000000011
78,1538.3538,1551.2872,20,12.9333999999999,0,20,0,PI,none yet,30,21.05646571529,8.94353428471,1,0,29,38,-7.06660000000011
79,1552.8594,1581.8489,20,28.9894999999999,0,20,1,PI,none yet,30,21.0692963181441,8.93070368185587,1,0,29,38,8.98949999999991
80,1583.4817,1612.342,20,28.8602999999998,0,20,1,PI,none yet,30,21.0820884291897,8.9179115708103,1,0,29,38,8.86029999999982
81,1614.315,1629.625,20,15.3099999999999,0,20,0,PI,none yet,30,21.0948421639021,8.90515783609787,1,0,29,38,-4.69000000000005
82,1631.6893,1659.8069,20,28.1176,0,20,1,PI,none yet,30,21.1075576374104,8.89244236258958,1,0,29,38,8.11760000000004
83,1661.5224,1677.1207,20,15.5982999999999,0,20,0,PI,none yet,30,21.1202349644982,8.87976503550181,1,0,29,38,-4.40170000000012
84,1678.8738,1692.3794,20,13.5056,0,20,0,PI,none yet,30,21.1328742596047,8.86712574039531,1,0,29,38,-6.49440000000004
85,1694.1357,1708.1512,20,14.0155000000002,0,20,0,PI,none yet,30,21.1454756368259,8.85452436317412,1,0,29,38,-5.9844999999998
86,1709.8874,1731.4159,20,21.5285000000001,0,20,1,PI,none yet,30,21.1580392099154,8.8419607900846,1,0,29,38,1.52850000000012
87,1733.7158,1739.5995,20,5.88370000000009,0,20,0,PI,none yet,30,21.1705650922857,8.82943490771434,1,0,29,38,-14.1162999999999
88,1741.7026,1768.8644,20,27.1617999999999,0,20,1,PI,none yet,30,21.1830533970088,8.8169466029912,1,0,29,38,7.16179999999986
89,1770.4425,1785.178,20,14.7355,0,20,0,PI,none yet,30,21.1955042368178,8.80449576318223,1,0,29,38,-5.2645
90,1786.8819,1800.6471,20,13.7651999999998,0,20,0,PI,none yet,30,21.2079177241073,8.79208227589268,1,0,29,38,-6.23480000000018
91,1802.3684,1830.6608,20,28.2923999999998,0,20,1,PI,none yet,30,21.220293970935,8.779706029065,1,0,29,38,8.29239999999982
92,1833.2273,1847.0695,20,13.8422,0,20,0,PI,none yet,30,21.2326330890222,8.76736691097781,1,0,29,38,-6.15779999999995
